web-scraper-order,web-scraper-start-url,links,links-href,Name,Phone,Address,Website,Website-href,Email,Email-href,Pages,Pages-href
"1649719871-67","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Kacey Padlo - State Farm Insurance Agent","https://www.yellowpages.com/jersey-city-nj/mip/kacey-padlo-state-farm-insurance-agent-563675020","Kacey Padlo - State Farm Insurance Agent","(201) 918-3793","419 Monmouth StJersey City, NJ 07302","Visit Website","https://coveredbykacey.com/","Email Business","mailto:kacey.padlo.vacbpn@statefarm.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719340-6","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Bodden Partners","https://www.yellowpages.com/new-york-ny/mip/bodden-partners-454757595","Bodden Partners","(212) 328-1111","102 Madison Ave Fl 7New York, NY 10016","Visit Website","http://www.boddenpartners.com/","Email Business","mailto:info@boddenpartners.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719940-72","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Virginia Chan - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/virginia-chan-state-farm-insurance-agent-532822775","Virginia Chan - State Farm Insurance Agent","(646) 781-9451","1015 Madison Ave Ste 503New York, NY 10075","Visit Website","https://www.madisonavenueinsurance.com/","Email Business","mailto:virginia@madisonavenueinsurance.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719684-44","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Seneca Insurance Company Inc","https://www.yellowpages.com/new-york-ny/mip/seneca-insurance-company-inc-542686926","Seneca Insurance Company Inc","(212) 422-7533","111 John StNew York, NY 10038","Visit Website","https://www.gafinsurance.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719789-59","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Schaefer, Kevin, AGT","https://www.yellowpages.com/new-york-ny/mip/schaefer-kevin-agt-562118241","Schaefer, Kevin, AGT","(212) 267-7601","49 Nassau St Fl 2New York, NY 10038","Visit Website","https://agents.allstate.com/kevin-schaefer-new-york-ny.html","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719747-53","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Prime Time Insurance","https://www.yellowpages.com/new-york-ny/mip/prime-time-insurance-19159594","Prime Time Insurance","(212) 587-8609","11 E BroadwayNew York, NY 10038","Visit Website","http://www.progressive.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720000-75","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Robert L Stevenson II - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/robert-l-stevenson-ii-state-farm-insurance-agent-557824974","Robert L Stevenson II - State Farm Insurance Agent","(212) 397-0580","850 7th Ave Ste 1005New York, NY 10019","Visit Website","https://www.robertlstevenson.com/","Email Business","mailto:robert@robertlstevenson.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719352-8","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Garnet Wilson Agency, LLC","https://www.yellowpages.com/new-york-ny/mip/garnet-wilson-agency-llc-6973293","Garnet Wilson Agency, LLC","(212) 802-7956","244 5th Ave Fl 2086New York, NY 10001","Visit Website","http://www.garnetwilsonagency.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719715-49","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Sirius America","https://www.yellowpages.com/new-york-ny/mip/sirius-america-480178834","Sirius America","(212) 312-2500","140 BroadwayNew York, NY 10005","Visit Website","http://www.siriusamerica.com/","Email Business","mailto:info-ny@exposure.net","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719359-9","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","American Family Celebration","https://www.yellowpages.com/new-york-ny/mip/american-family-celebration-460240997","American Family Celebration","(212) 206-1066","275 7th AveNew York, NY 10001","null","null","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719497-26","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Hanover Insurance Group","https://www.yellowpages.com/new-york-ny/mip/hanover-insurance-group-1643501","Hanover Insurance Group","(212) 709-2100","100 Wall St Ste 1401New York, NY 10005","Visit Website","http://www.ardcareers.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719639-41","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Guardian Customer Response","https://www.yellowpages.com/new-york-ny/mip/guardian-customer-response-463039432","Guardian Customer Response","(212) 964-3449","116 John StNew York, NY 10038","null","null","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719707-48","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Dbrs","https://www.yellowpages.com/new-york-ny/mip/dbrs-507231508","Dbrs","(212) 806-3277","140 BroadwayNew York, NY 10005","Visit Website","http://www.dbrs.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719506-27","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Prudential Insurance Company","https://www.yellowpages.com/new-york-ny/mip/prudential-insurance-company-12486459","Prudential Insurance Company","(212) 964-0073","103 E BroadwayNew York, NY 10002","Visit Website","http://www.prudential.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649720082-85","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Parker Brokerage","https://www.yellowpages.com/new-york-ny/mip/parker-brokerage-11558986","Parker Brokerage","(212) 252-7100","116 E 27th St Fl 9New York, NY 10016","Visit Website","http://mogil.com/","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719478-23","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Bowman E G & Co","https://www.yellowpages.com/new-york-ny/mip/bowman-e-g-co-475918201","Bowman E G & Co","(212) 425-8150","97 Wall StNew York, NY 10005","Visit Website","http://www.egbowman.com/","Email Business","mailto:info@egbowman.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719391-13","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","VillageCareMAX","https://www.yellowpages.com/new-york-ny/mip/villagecaremax-11036932","VillageCareMAX","(800) 469-6292","112 Charles StNew York, NY 10014","Visit Website","https://www.villagecaremax.org/","Email Business","mailto:info@vcny.org","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719326-4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Precise Leads Inc","https://www.yellowpages.com/new-york-ny/mip/precise-leads-inc-473084254","Precise Leads Inc","(646) 649-9900","227 W 29th StNew York, NY 10001","Visit Website","http://www.preciseleads.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649720033-79","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Taylor & Taylor Ltd","https://www.yellowpages.com/new-york-ny/mip/taylor-taylor-ltd-8463335","Taylor & Taylor Ltd","(212) 490-0370","16 E 40th St Fl 11New York, NY 10016","Visit Website","http://www.taylorinsurance.com/","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720018-77","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Allstate Insurance: Kelly Qu","https://www.yellowpages.com/new-york-ny/mip/allstate-insurance-kelly-qu-533335514","Allstate Insurance: Kelly Qu","(718) 865-8458","50 E 42nd St Rm 513New York, NY 10017","Visit Website","https://agents.allstate.com/kelly-qu-new-york-ny.html","Email Business","mailto:kellyqu@allstate.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719689-45","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","MetLife","https://www.yellowpages.com/new-york-ny/mip/metlife-456153038","MetLife","(212) 431-3381","185 Canal StNew York, NY 10013","Visit Website","http://www.metlife.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719521-29","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","QBE Insurance Corporation","https://www.yellowpages.com/new-york-ny/mip/qbe-insurance-corporation-544523815","QBE Insurance Corporation","(212) 422-1212","88 Pine StNew York, NY 10005","Visit Website","http://group.qbe.com/","Email Business","mailto:rebecca.dresner@us.qbe.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649720049-81","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Allstate Insurance Agent: Brian Boyd","https://www.yellowpages.com/new-york-ny/mip/allstate-insurance-agent-brian-boyd-544305663","Allstate Insurance Agent: Brian Boyd","(212) 686-1200","8 W 38th St Rm 1001New York, NY 10018","null","null","Email Business","mailto:brianboyd@allstate.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719645-42","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Thornton Tomasetti, Inc","https://www.yellowpages.com/new-york-ny/mip/thornton-tomasetti-inc-479802611","Thornton Tomasetti, Inc","(212) 655-2000","120 BroadwayNew York, NY 10271","Visit Website","http://www.thorntontomasetti.com/","Email Business","mailto:twrclaims@twrgrp.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719762-55","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","New York Automobile Ins","https://www.yellowpages.com/new-york-ny/mip/new-york-automobile-ins-8542950","New York Automobile Ins","(212) 208-9700","100 William StNew York, NY 10038","Visit Website","http://www.nypiua.com/","Email Business","mailto:cdichiara@nypiua.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720027-78","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Chris Lavelle - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/chris-lavelle-state-farm-insurance-agent-557858636","Chris Lavelle - State Farm Insurance Agent","(332) 214-3299","483 10th Ave Rm 200aNew York, NY 10018","null","null","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720104-87","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","AMERICAN INVESTORS Insurance","https://www.yellowpages.com/new-york-ny/mip/american-investors-insurance-537927600","AMERICAN INVESTORS Insurance","(888) 359-1395","175 5th AveNew York, NY 10010","Visit Website","http://www.americaninvestorsinsurance.com/","Email Business","mailto:support@Americaninvestorsinsurance.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719756-54","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","LifeStance Health","https://www.yellowpages.com/new-york-ny/mip/lifestance-health-481999456","LifeStance Health","(845) 279-5908","150 Broadway Rm 502New York, NY 10038","Visit Website","https://lifestance.com/location/new-york-ny-150-broadway","Email Business","mailto:i.nguyen-baumel.1@alumni.nyu.edu","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720065-83","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Robert Ramos - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/robert-ramos-state-farm-insurance-agent-546124101","Robert Ramos - State Farm Insurance Agent","(646) 858-0755","252 W 31st St Fl 4New York, NY 10001","Visit Website","http://www.statefarm.com/","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720073-84","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Kate Rhee - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/kate-rhee-state-farm-insurance-agent-534340673","Kate Rhee - State Farm Insurance Agent","(212) 725-2510","315 5th Ave Rm 703BNew York, NY 10016","Visit Website","http://www.krheeinsurance.com/","Email Business","mailto:kate@khreeinsurance.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719556-33","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Naic","https://www.yellowpages.com/new-york-ny/mip/naic-507232656","Naic","(212) 398-9000","48 Wall St Fl 6New York, NY 10005","Visit Website","http://www.naic.org/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719776-57","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Hudson Insurance Group","https://www.yellowpages.com/new-york-ny/mip/hudson-insurance-group-482932389","Hudson Insurance Group","(212) 978-2800","100 William St 5th FlNew York, NY 10038","Visit Website","http://www.hudsoninsgroup.com/","Email Business","mailto:HudsonClaims300@hudsoninsgroup.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719701-47","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Quanta US Holdings Inc","https://www.yellowpages.com/new-york-ny/mip/quanta-us-holdings-inc-473397761","Quanta US Holdings Inc","(212) 373-1800","40 Fulton StNew York, NY 10038","null","null","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719404-15","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","RentalCover","https://www.yellowpages.com/new-york-ny/mip/rentalcover-503129984","RentalCover","(347) 625-8694","93 Barrow StNew York, NY 10014","Visit Website","http://rentalcover.com/","Chris at Rental Cover","mailto:chris@rentalcover.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
